created At,tree ID,curb loc,status,spc common,zip city,boroName
8/20/2015,163289,OnCurb,Alive,Norway maple,Astoria,Queens
8/12/2015,140593,OnCurb,Alive,Norway maple,Astoria,Queens
8/24/2015,172196,OnCurb,Alive,Norway maple,Brooklyn,Brooklyn
8/19/2015,159860,OnCurb,Alive,Norway maple,Astoria,Queens
8/25/2015,173614,OnCurb,Alive,Norway maple,New York,Manhattan
8/26/2015,178312,OnCurb,Alive,Norway maple,Woodhaven,Queens
8/26/2015,175786,OnCurb,Alive,Norway maple,East Elmhurst,Queens
8/22/2015,167233,OnCurb,Alive,Norway maple,Kew Gardens,Queens
8/30/2015,188257,OnCurb,Alive,Norway maple,Jackson Heights,Queens
8/15/2015,147009,OnCurb,Alive,Norway maple,Jamaica,Queens
8/30/2015,190025,OffsetFromCurb,Alive,Norway maple,Brooklyn,Brooklyn
8/29/2015,187336,OnCurb,Alive,Norway maple,Elmhurst,Queens
9/2/2015,196496,OffsetFromCurb,Alive,scarlet oak,Brooklyn,Brooklyn
9/2/2015,196510,OffsetFromCurb,Alive,scarlet oak,Brooklyn,Brooklyn
9/7/2015,208145,OnCurb,Alive,swamp white oak,Brooklyn,Brooklyn
8/13/2015,142211,OnCurb,Alive,swamp white oak,Springfield Gardens,Queens
8/9/2015,131183,OnCurb,Alive,swamp white oak,New York,Manhattan
8/30/2015,188122,OnCurb,Alive,swamp white oak,Staten Island,Staten Island
8/24/2015,171241,OnCurb,Alive,swamp white oak,Brooklyn,Brooklyn
